Date	Open_TATASTEEL.NS	High_TATASTEEL.NS	Low_TATASTEEL.NS	Close_TATASTEEL.NS	Volume_TATASTEEL.NS	AdjClose_TATASTEEL.NS	Return_TATASTEEL.NS
2011-08-29	428.85	450.0	426.7	447.4	5191400	401.3397	0.0594366191978
2011-08-30	455.0	472.9	455.0	468.55	7560500	420.3122	0.0472729211688
2011-09-02	470.0	492.7	461.0	490.1	7465800	439.6437	0.0459931926792
2011-09-05	486.0	495.95	480.2	494.7	6126200	443.7701	0.00938578216861
2011-09-06	490.0	497.6	478.1	495.45	4795900	444.4429	0.00151610034115
2011-09-07	495.0	503.5	494.9	498.5	3219800	447.1789	0.00615602139217
2011-09-08	499.75	502.05	489.0	491.35	3352400	440.765	-0.0143430291546
2011-09-09	490.0	490.8	475.1	476.9	4584600	427.8026	-0.0294088686715
2011-09-12	469.25	470.0	452.15	454.85	6087100	408.0227	-0.0462360443812
2011-09-13	460.4	467.8	450.8	457.35	4230900	410.2653	0.00549626283047
2011-09-14	460.0	473.6	454.1	469.5	3455700	421.1645	0.0265662243431
2011-09-15	475.0	477.0	460.1	465.65	5577300	417.7108	-0.00820035876718
2011-09-16	470.4	474.5	457.1	460.85	7348500	413.405	-0.0103080887542
2011-09-19	458.85	458.85	451.6	453.75	2527600	407.0359	-0.015406441625
2011-09-20	453.75	462.6	452.2	461.1	3418500	413.6292	0.016198325504
2011-09-21	462.4	462.4	455.15	458.5	2302600	411.2969	-0.00563862512608
2011-09-22	451.0	451.0	440.0	442.4	4434600	396.8544	-0.035114536482
2011-09-23	437.55	438.25	425.1	432.8	5374800	388.2427	-0.0216998979979
2011-09-26	432.0	439.7	420.2	435.45	3852100	390.62	0.00612323167957
2011-09-27	441.6	445.4	435.5	438.95	3941800	393.7596	0.00803747887973
2011-09-28	442.0	444.0	425.6	427.4	3487200	383.3987	-0.0263127552954
2011-09-29	424.0	438.0	417.0	433.8	5436400	389.1398	0.0149742291771
2011-09-30	430.6	432.8	414.15	415.35	5203500	372.5893	-0.0425309875782
2011-10-03	408.75	408.75	392.85	394.65	5050500	354.0203	-0.0498377167568
2011-10-04	393.85	405.4	390.3	397.55	4738700	356.6218	0.00734844866241
2011-10-05	400.8	406.8	398.0	400.6	4220100	359.3578	0.0076719931311
2011-10-07	413.5	421.4	410.65	419.7	4394100	376.4914	0.0476783862769
2011-10-10	419.7	436.4	416.65	434.95	5301000	390.1714	0.0363354913286
2011-10-11	439.8	443.3	430.7	433.55	4898100	388.9155	-0.00321884177057
2011-10-12	435.0	445.0	433.7	444.1	3202400	398.3794	0.024334077711
2011-10-13	445.6	457.4	441.6	453.4	4733600	406.722	0.0209413438546
